step=0: nr=0, ctr1=0, ctr2=0, ctr3=0, RNA=0  (tn=40000, r=40000)
step=5000: nr=0, ctr1=0, ctr2=0, ctr3=0, RNA=2517  (tn=40000, r=37270)
step=10000: nr=1, ctr1=1, ctr2=1, ctr3=1, RNA=2550  (tn=40032, r=37164)
step=15000: nr=1, ctr1=1, ctr2=1, ctr3=1, RNA=2835  (tn=40032, r=36367)
step=20000: nr=49, ctr1=1, ctr2=1, ctr3=1, RNA=3660  (tn=40032, r=33321)
step=25000: nr=155, ctr1=1, ctr2=1, ctr3=1, RNA=5156  (tn=40032, r=27390)
step=30000: nr=209, ctr1=1, ctr2=1, ctr3=1, RNA=6519  (tn=40032, r=21671)
step=35000: nr=264, ctr1=1, ctr2=1, ctr3=1, RNA=7427  (tn=40032, r=16547)
step=40000: nr=324, ctr1=1, ctr2=2, ctr3=1, RNA=7980  (tn=40032, r=12292)
step=45000: nr=361, ctr1=1, ctr2=2, ctr3=1, RNA=8448  (tn=40032, r=8423)
step=50000: nr=381, ctr1=1, ctr2=2, ctr3=1, RNA=8570  (tn=40032, r=5793)
step=55000: nr=416, ctr1=1, ctr2=3, ctr3=1, RNA=8604  (tn=40032, r=4003)
step=60000: nr=424, ctr1=1, ctr2=3, ctr3=1, RNA=8504  (tn=40032, r=2661)
step=65000: nr=451, ctr1=1, ctr2=6, ctr3=1, RNA=8418  (tn=40032, r=1745)
step=70000: nr=445, ctr1=1, ctr2=12, ctr3=1, RNA=8288  (tn=40032, r=1123)
step=75000: nr=461, ctr1=1, ctr2=12, ctr3=1, RNA=8198  (tn=40032, r=697)
step=80000: nr=483, ctr1=1, ctr2=13, ctr3=1, RNA=8030  (tn=40032, r=421)
step=85000: nr=487, ctr1=1, ctr2=15, ctr3=1, RNA=7882  (tn=40032, r=271)
step=90000: nr=488, ctr1=1, ctr2=16, ctr3=1, RNA=7732  (tn=40032, r=181)
step=95000: nr=483, ctr1=1, ctr2=16, ctr3=1, RNA=7624  (tn=40032, r=108)
step=100000: nr=491, ctr1=1, ctr2=19, ctr3=1, RNA=7525  (tn=40032, r=59)
step=105000: nr=486, ctr1=1, ctr2=19, ctr3=1, RNA=7411  (tn=40032, r=31)
step=110000: nr=494, ctr1=1, ctr2=21, ctr3=1, RNA=7307  (tn=40032, r=23)
step=115000: nr=499, ctr1=1, ctr2=22, ctr3=1, RNA=7217  (tn=40032, r=17)
step=120000: nr=496, ctr1=1, ctr2=22, ctr3=1, RNA=7123  (tn=40032, r=15)
step=125000: nr=497, ctr1=1, ctr2=22, ctr3=1, RNA=7034  (tn=40032, r=11)
step=130000: nr=504, ctr1=1, ctr2=23, ctr3=1, RNA=7027  (tn=40032, r=6)
step=135000: nr=506, ctr1=1, ctr2=24, ctr3=1, RNA=6933  (tn=40032, r=4)
step=140000: nr=509, ctr1=1, ctr2=26, ctr3=1, RNA=6854  (tn=40032, r=7)
step=145000: nr=506, ctr1=1, ctr2=24, ctr3=1, RNA=6806  (tn=40032, r=5)
step=150000: nr=505, ctr1=1, ctr2=22, ctr3=1, RNA=6748  (tn=40032, r=6)
step=155000: nr=511, ctr1=1, ctr2=24, ctr3=1, RNA=6696  (tn=40032, r=2)
step=160000: nr=502, ctr1=1, ctr2=24, ctr3=1, RNA=6647  (tn=40032, r=1)
step=165000: nr=509, ctr1=1, ctr2=24, ctr3=1, RNA=6595  (tn=40032, r=1)
step=170000: nr=508, ctr1=1, ctr2=25, ctr3=1, RNA=6532  (tn=40032, r=1)
step=175000: nr=503, ctr1=1, ctr2=26, ctr3=1, RNA=6498  (tn=40032, r=2)
step=180000: nr=506, ctr1=1, ctr2=24, ctr3=1, RNA=6460  (tn=40032, r=3)
step=185000: nr=503, ctr1=1, ctr2=25, ctr3=1, RNA=6403  (tn=40032, r=5)
step=190000: nr=503, ctr1=1, ctr2=26, ctr3=1, RNA=6391  (tn=40032, r=2)
step=195000: nr=503, ctr1=1, ctr2=27, ctr3=1, RNA=6381  (tn=40032, r=3)
step=200000: nr=510, ctr1=1, ctr2=28, ctr3=1, RNA=6318  (tn=40032, r=1)
step=205000: nr=503, ctr1=1, ctr2=29, ctr3=1, RNA=6274  (tn=40032, r=1)
step=210000: nr=509, ctr1=1, ctr2=28, ctr3=1, RNA=6241  (tn=40032, r=1)
step=215000: nr=508, ctr1=1, ctr2=27, ctr3=1, RNA=6227  (tn=40032, r=0)
step=220000: nr=510, ctr1=1, ctr2=29, ctr3=1, RNA=6199  (tn=40032, r=2)
step=225000: nr=505, ctr1=1, ctr2=28, ctr3=1, RNA=6166  (tn=40032, r=2)
step=230000: nr=505, ctr1=1, ctr2=28, ctr3=1, RNA=6120  (tn=40032, r=7)
step=235000: nr=508, ctr1=1, ctr2=27, ctr3=1, RNA=6111  (tn=40032, r=2)
step=240000: nr=504, ctr1=1, ctr2=28, ctr3=1, RNA=6070  (tn=40032, r=3)
step=245000: nr=502, ctr1=1, ctr2=28, ctr3=1, RNA=6048  (tn=40032, r=2)
step=250000: nr=501, ctr1=1, ctr2=28, ctr3=1, RNA=5998  (tn=40032, r=2)
step=255000: nr=493, ctr1=1, ctr2=28, ctr3=1, RNA=5993  (tn=40032, r=1)
step=260000: nr=497, ctr1=1, ctr2=29, ctr3=1, RNA=5972  (tn=40032, r=1)
step=265000: nr=501, ctr1=1, ctr2=29, ctr3=1, RNA=5965  (tn=40032, r=0)
step=270000: nr=502, ctr1=1, ctr2=29, ctr3=1, RNA=5937  (tn=40032, r=6)
step=275000: nr=500, ctr1=1, ctr2=28, ctr3=1, RNA=5921  (tn=40032, r=5)
step=280000: nr=500, ctr1=1, ctr2=29, ctr3=1, RNA=5907  (tn=40032, r=3)
step=285000: nr=498, ctr1=1, ctr2=29, ctr3=1, RNA=5893  (tn=40032, r=3)
step=290000: nr=498, ctr1=1, ctr2=27, ctr3=1, RNA=5848  (tn=40032, r=4)
