step=0: nr=0, ctr1=0, ctr2=0, ctr3=0, RNA=0  (tn=40000, r=40000)
step=10000: nr=1, ctr1=1, ctr2=1, ctr3=1, RNA=2424  (tn=40032, r=37481)
step=20000: nr=42, ctr1=1, ctr2=1, ctr3=1, RNA=2802  (tn=40032, r=35807)
step=30000: nr=248, ctr1=1, ctr2=1, ctr3=1, RNA=3580  (tn=40032, r=31055)
step=40000: nr=409, ctr1=1, ctr2=1, ctr3=1, RNA=3869  (tn=40032, r=26898)
step=50000: nr=504, ctr1=1, ctr2=0, ctr3=1, RNA=4441  (tn=40032, r=23120)
step=60000: nr=600, ctr1=1, ctr2=0, ctr3=1, RNA=4959  (tn=40032, r=19528)
step=70000: nr=699, ctr1=1, ctr2=0, ctr3=1, RNA=5660  (tn=40032, r=15542)
step=80000: nr=756, ctr1=0, ctr2=0, ctr3=1, RNA=6300  (tn=40032, r=11744)
step=90000: nr=838, ctr1=0, ctr2=0, ctr3=1, RNA=6715  (tn=40032, r=8486)
step=100000: nr=905, ctr1=0, ctr2=0, ctr3=1, RNA=7215  (tn=40032, r=5620)
step=110000: nr=939, ctr1=0, ctr2=0, ctr3=1, RNA=7302  (tn=40032, r=3780)
step=120000: nr=988, ctr1=0, ctr2=0, ctr3=1, RNA=7438  (tn=40032, r=2441)
step=130000: nr=1008, ctr1=0, ctr2=0, ctr3=1, RNA=7432  (tn=40032, r=1519)
step=140000: nr=1016, ctr1=0, ctr2=0, ctr3=1, RNA=7379  (tn=40032, r=849)
step=150000: nr=1034, ctr1=0, ctr2=0, ctr3=1, RNA=7259  (tn=40032, r=468)
step=160000: nr=1048, ctr1=0, ctr2=0, ctr3=1, RNA=7123  (tn=40032, r=248)
step=170000: nr=1058, ctr1=0, ctr2=0, ctr3=1, RNA=6932  (tn=40032, r=141)
step=180000: nr=1074, ctr1=0, ctr2=0, ctr3=1, RNA=6838  (tn=40032, r=105)
step=190000: nr=1079, ctr1=0, ctr2=0, ctr3=1, RNA=6703  (tn=40032, r=94)
step=200000: nr=1081, ctr1=0, ctr2=0, ctr3=1, RNA=6566  (tn=40032, r=95)
step=210000: nr=1104, ctr1=0, ctr2=0, ctr3=1, RNA=6479  (tn=40032, r=82)
step=220000: nr=1096, ctr1=0, ctr2=0, ctr3=1, RNA=6376  (tn=40032, r=65)
step=230000: nr=1099, ctr1=0, ctr2=0, ctr3=1, RNA=6276  (tn=40032, r=60)
step=240000: nr=1123, ctr1=0, ctr2=0, ctr3=1, RNA=6213  (tn=40032, r=62)
step=250000: nr=1128, ctr1=0, ctr2=0, ctr3=1, RNA=6168  (tn=40032, r=61)
step=260000: nr=1144, ctr1=0, ctr2=0, ctr3=1, RNA=6111  (tn=40032, r=72)
step=270000: nr=1133, ctr1=0, ctr2=0, ctr3=1, RNA=6004  (tn=40032, r=73)
step=280000: nr=1139, ctr1=0, ctr2=0, ctr3=1, RNA=5939  (tn=40032, r=68)
step=290000: nr=1162, ctr1=0, ctr2=0, ctr3=1, RNA=5908  (tn=40032, r=70)
step=300000: nr=1149, ctr1=0, ctr2=0, ctr3=1, RNA=5838  (tn=40032, r=61)
step=310000: nr=1154, ctr1=0, ctr2=0, ctr3=1, RNA=5805  (tn=40032, r=57)
step=320000: nr=1161, ctr1=0, ctr2=0, ctr3=1, RNA=5766  (tn=40032, r=64)
step=330000: nr=1170, ctr1=0, ctr2=0, ctr3=1, RNA=5727  (tn=40032, r=88)
step=340000: nr=1175, ctr1=0, ctr2=0, ctr3=1, RNA=5674  (tn=40032, r=58)
step=350000: nr=1167, ctr1=0, ctr2=0, ctr3=1, RNA=5650  (tn=40032, r=60)
step=360000: nr=1161, ctr1=0, ctr2=0, ctr3=1, RNA=5604  (tn=40032, r=66)
step=370000: nr=1161, ctr1=0, ctr2=0, ctr3=1, RNA=5586  (tn=40032, r=73)
step=380000: nr=1175, ctr1=0, ctr2=0, ctr3=1, RNA=5579  (tn=40032, r=74)
step=390000: nr=1186, ctr1=0, ctr2=0, ctr3=1, RNA=5546  (tn=40032, r=68)
step=400000: nr=1194, ctr1=0, ctr2=0, ctr3=1, RNA=5488  (tn=40032, r=96)
step=410000: nr=1198, ctr1=0, ctr2=0, ctr3=1, RNA=5485  (tn=40032, r=85)
step=420000: nr=1197, ctr1=0, ctr2=0, ctr3=1, RNA=5404  (tn=40032, r=95)
step=430000: nr=1212, ctr1=0, ctr2=0, ctr3=1, RNA=5380  (tn=40032, r=87)
step=440000: nr=1212, ctr1=0, ctr2=0, ctr3=1, RNA=5333  (tn=40032, r=83)
step=450000: nr=1209, ctr1=0, ctr2=0, ctr3=1, RNA=5342  (tn=40032, r=75)
step=460000: nr=1226, ctr1=0, ctr2=0, ctr3=1, RNA=5323  (tn=40032, r=90)
step=470000: nr=1221, ctr1=0, ctr2=0, ctr3=1, RNA=5318  (tn=40032, r=76)
step=480000: nr=1235, ctr1=0, ctr2=0, ctr3=0, RNA=5287  (tn=40032, r=71)
step=490000: nr=1227, ctr1=0, ctr2=0, ctr3=0, RNA=5254  (tn=40032, r=84)
step=500000: nr=1235, ctr1=0, ctr2=0, ctr3=0, RNA=5228  (tn=40032, r=86)
step=510000: nr=1244, ctr1=0, ctr2=0, ctr3=0, RNA=5203  (tn=40032, r=79)
step=520000: nr=1253, ctr1=0, ctr2=0, ctr3=0, RNA=5230  (tn=40032, r=76)
step=530000: nr=1262, ctr1=0, ctr2=0, ctr3=0, RNA=5195  (tn=40032, r=87)
step=540000: nr=1251, ctr1=0, ctr2=0, ctr3=0, RNA=5180  (tn=40032, r=87)
step=550000: nr=1255, ctr1=0, ctr2=0, ctr3=0, RNA=5113  (tn=40032, r=89)
step=560000: nr=1258, ctr1=0, ctr2=0, ctr3=0, RNA=5134  (tn=40032, r=85)
step=570000: nr=1250, ctr1=0, ctr2=0, ctr3=0, RNA=5112  (tn=40032, r=93)
step=580000: nr=1255, ctr1=0, ctr2=0, ctr3=0, RNA=5105  (tn=40032, r=81)
step=590000: nr=1262, ctr1=0, ctr2=0, ctr3=0, RNA=5099  (tn=40032, r=72)
step=600000: nr=1276, ctr1=0, ctr2=0, ctr3=0, RNA=5076  (tn=40032, r=79)
step=610000: nr=1277, ctr1=0, ctr2=0, ctr3=0, RNA=5066  (tn=40032, r=93)
step=620000: nr=1286, ctr1=0, ctr2=0, ctr3=0, RNA=5061  (tn=40032, r=86)
step=630000: nr=1299, ctr1=0, ctr2=0, ctr3=0, RNA=5039  (tn=40032, r=91)
step=640000: nr=1282, ctr1=0, ctr2=0, ctr3=0, RNA=5023  (tn=40032, r=87)
step=650000: nr=1304, ctr1=0, ctr2=0, ctr3=0, RNA=5047  (tn=40032, r=90)
step=660000: nr=1289, ctr1=0, ctr2=0, ctr3=0, RNA=5013  (tn=40032, r=95)
step=670000: nr=1294, ctr1=0, ctr2=0, ctr3=0, RNA=5029  (tn=40032, r=118)
step=680000: nr=1276, ctr1=0, ctr2=0, ctr3=0, RNA=4992  (tn=40032, r=104)
step=690000: nr=1298, ctr1=0, ctr2=0, ctr3=0, RNA=5021  (tn=40032, r=86)
step=700000: nr=1310, ctr1=0, ctr2=0, ctr3=0, RNA=5009  (tn=40032, r=91)
step=710000: nr=1306, ctr1=0, ctr2=0, ctr3=0, RNA=4978  (tn=40032, r=124)
step=720000: nr=1309, ctr1=0, ctr2=0, ctr3=0, RNA=4967  (tn=40032, r=103)
step=730000: nr=1316, ctr1=0, ctr2=0, ctr3=0, RNA=4982  (tn=40032, r=108)
step=740000: nr=1329, ctr1=0, ctr2=0, ctr3=0, RNA=4977  (tn=40032, r=110)
step=750000: nr=1326, ctr1=0, ctr2=0, ctr3=0, RNA=4974  (tn=40032, r=91)
step=760000: nr=1326, ctr1=0, ctr2=0, ctr3=0, RNA=4945  (tn=40032, r=101)
step=770000: nr=1335, ctr1=0, ctr2=0, ctr3=0, RNA=4940  (tn=40032, r=109)
step=780000: nr=1338, ctr1=0, ctr2=0, ctr3=0, RNA=4945  (tn=40032, r=91)
step=790000: nr=1330, ctr1=0, ctr2=0, ctr3=0, RNA=4910  (tn=40032, r=105)
step=800000: nr=1342, ctr1=0, ctr2=0, ctr3=0, RNA=4884  (tn=40032, r=94)
step=810000: nr=1356, ctr1=0, ctr2=0, ctr3=0, RNA=4887  (tn=40032, r=93)
step=820000: nr=1369, ctr1=0, ctr2=0, ctr3=0, RNA=4896  (tn=40032, r=94)
step=830000: nr=1365, ctr1=0, ctr2=0, ctr3=0, RNA=4879  (tn=40032, r=85)
step=840000: nr=1364, ctr1=0, ctr2=0, ctr3=0, RNA=4872  (tn=40032, r=95)
step=850000: nr=1368, ctr1=0, ctr2=0, ctr3=0, RNA=4886  (tn=40032, r=75)
step=860000: nr=1373, ctr1=0, ctr2=0, ctr3=0, RNA=4889  (tn=40032, r=90)
step=870000: nr=1354, ctr1=0, ctr2=0, ctr3=0, RNA=4838  (tn=40032, r=116)
step=880000: nr=1361, ctr1=0, ctr2=0, ctr3=0, RNA=4861  (tn=40032, r=92)
step=890000: nr=1367, ctr1=0, ctr2=0, ctr3=0, RNA=4851  (tn=40032, r=103)
step=900000: nr=1361, ctr1=0, ctr2=0, ctr3=0, RNA=4836  (tn=40032, r=88)
step=910000: nr=1364, ctr1=0, ctr2=0, ctr3=0, RNA=4818  (tn=40032, r=75)
step=920000: nr=1363, ctr1=0, ctr2=0, ctr3=0, RNA=4794  (tn=40032, r=99)
step=930000: nr=1371, ctr1=0, ctr2=0, ctr3=0, RNA=4805  (tn=40032, r=93)
step=940000: nr=1368, ctr1=0, ctr2=0, ctr3=0, RNA=4838  (tn=40032, r=96)
step=950000: nr=1362, ctr1=0, ctr2=0, ctr3=0, RNA=4800  (tn=40032, r=109)
step=960000: nr=1373, ctr1=0, ctr2=0, ctr3=0, RNA=4769  (tn=40032, r=115)
step=970000: nr=1371, ctr1=0, ctr2=0, ctr3=0, RNA=4771  (tn=40032, r=120)
step=980000: nr=1374, ctr1=0, ctr2=0, ctr3=0, RNA=4779  (tn=40032, r=116)
step=990000: nr=1389, ctr1=0, ctr2=0, ctr3=0, RNA=4733  (tn=40032, r=116)
step=1000000: nr=1383, ctr1=0, ctr2=0, ctr3=0, RNA=4704  (tn=40032, r=106)
step=1010000: nr=1408, ctr1=0, ctr2=0, ctr3=0, RNA=4684  (tn=40032, r=109)
step=1020000: nr=1411, ctr1=0, ctr2=0, ctr3=0, RNA=4685  (tn=40032, r=112)
step=1030000: nr=1406, ctr1=0, ctr2=0, ctr3=0, RNA=4669  (tn=40032, r=89)
step=1040000: nr=1413, ctr1=0, ctr2=0, ctr3=0, RNA=4677  (tn=40032, r=92)
step=1050000: nr=1405, ctr1=0, ctr2=0, ctr3=0, RNA=4657  (tn=40032, r=109)
step=1060000: nr=1422, ctr1=0, ctr2=0, ctr3=0, RNA=4676  (tn=40032, r=94)
step=1070000: nr=1425, ctr1=0, ctr2=0, ctr3=0, RNA=4659  (tn=40032, r=106)
step=1080000: nr=1415, ctr1=0, ctr2=0, ctr3=0, RNA=4664  (tn=40032, r=105)
step=1090000: nr=1425, ctr1=0, ctr2=0, ctr3=0, RNA=4653  (tn=40032, r=100)
step=1100000: nr=1423, ctr1=0, ctr2=0, ctr3=0, RNA=4603  (tn=40032, r=99)
step=1110000: nr=1435, ctr1=0, ctr2=0, ctr3=0, RNA=4601  (tn=40032, r=95)
step=1120000: nr=1436, ctr1=0, ctr2=0, ctr3=0, RNA=4598  (tn=40032, r=106)
step=1130000: nr=1436, ctr1=0, ctr2=0, ctr3=0, RNA=4588  (tn=40032, r=113)
step=1140000: nr=1441, ctr1=0, ctr2=0, ctr3=0, RNA=4568  (tn=40032, r=110)
step=1150000: nr=1442, ctr1=0, ctr2=0, ctr3=0, RNA=4559  (tn=40032, r=104)
step=1160000: nr=1443, ctr1=0, ctr2=0, ctr3=0, RNA=4545  (tn=40032, r=120)
step=1170000: nr=1450, ctr1=0, ctr2=0, ctr3=0, RNA=4538  (tn=40032, r=123)
step=1180000: nr=1452, ctr1=0, ctr2=0, ctr3=0, RNA=4518  (tn=40032, r=122)
step=1190000: nr=1448, ctr1=0, ctr2=0, ctr3=0, RNA=4511  (tn=40032, r=107)
step=1200000: nr=1450, ctr1=0, ctr2=0, ctr3=0, RNA=4499  (tn=40032, r=114)
step=1210000: nr=1456, ctr1=0, ctr2=0, ctr3=0, RNA=4492  (tn=40032, r=113)
step=1220000: nr=1452, ctr1=0, ctr2=0, ctr3=0, RNA=4488  (tn=40032, r=124)
step=1230000: nr=1460, ctr1=0, ctr2=0, ctr3=0, RNA=4464  (tn=40032, r=139)
step=1240000: nr=1461, ctr1=0, ctr2=0, ctr3=0, RNA=4468  (tn=40032, r=154)
step=1250000: nr=1459, ctr1=0, ctr2=0, ctr3=0, RNA=4462  (tn=40032, r=143)
step=1260000: nr=1464, ctr1=0, ctr2=0, ctr3=0, RNA=4488  (tn=40032, r=139)
step=1270000: nr=1475, ctr1=0, ctr2=0, ctr3=0, RNA=4503  (tn=40032, r=108)
step=1280000: nr=1477, ctr1=0, ctr2=0, ctr3=0, RNA=4467  (tn=40032, r=135)
step=1290000: nr=1478, ctr1=0, ctr2=0, ctr3=0, RNA=4484  (tn=40032, r=119)
step=1300000: nr=1497, ctr1=0, ctr2=0, ctr3=0, RNA=4493  (tn=40032, r=122)
step=1310000: nr=1476, ctr1=0, ctr2=0, ctr3=0, RNA=4453  (tn=40032, r=129)
step=1320000: nr=1495, ctr1=0, ctr2=0, ctr3=0, RNA=4430  (tn=40032, r=140)
step=1330000: nr=1470, ctr1=0, ctr2=0, ctr3=0, RNA=4430  (tn=40032, r=157)
step=1340000: nr=1483, ctr1=0, ctr2=0, ctr3=0, RNA=4414  (tn=40032, r=156)
step=1350000: nr=1501, ctr1=0, ctr2=0, ctr3=0, RNA=4433  (tn=40032, r=166)
step=1360000: nr=1486, ctr1=0, ctr2=0, ctr3=0, RNA=4403  (tn=40032, r=155)
step=1370000: nr=1497, ctr1=0, ctr2=0, ctr3=0, RNA=4407  (tn=40032, r=144)
step=1380000: nr=1506, ctr1=0, ctr2=0, ctr3=0, RNA=4416  (tn=40032, r=135)
step=1390000: nr=1510, ctr1=0, ctr2=0, ctr3=0, RNA=4426  (tn=40032, r=126)
step=1400000: nr=1512, ctr1=0, ctr2=0, ctr3=0, RNA=4395  (tn=40032, r=130)
step=1410000: nr=1511, ctr1=0, ctr2=0, ctr3=0, RNA=4372  (tn=40032, r=135)
step=1420000: nr=1509, ctr1=0, ctr2=0, ctr3=0, RNA=4368  (tn=40032, r=148)
step=1430000: nr=1507, ctr1=0, ctr2=0, ctr3=0, RNA=4350  (tn=40032, r=135)
step=1440000: nr=1533, ctr1=0, ctr2=0, ctr3=0, RNA=4366  (tn=40032, r=135)
step=1450000: nr=1532, ctr1=0, ctr2=0, ctr3=0, RNA=4357  (tn=40032, r=131)
step=1460000: nr=1527, ctr1=0, ctr2=0, ctr3=0, RNA=4338  (tn=40032, r=143)
