step=0: nr=0, ctr1=0, ctr2=0, ctr3=0, RNA=0  (tn=40000, r=40000)
step=5000: nr=0, ctr1=0, ctr2=0, ctr3=0, RNA=2526  (tn=40000, r=37274)
step=10000: nr=1, ctr1=1, ctr2=1, ctr3=1, RNA=2501  (tn=40032, r=37260)
step=15000: nr=14, ctr1=1, ctr2=1, ctr3=1, RNA=2765  (tn=40032, r=36045)
step=20000: nr=64, ctr1=1, ctr2=1, ctr3=1, RNA=3944  (tn=40032, r=31579)
step=25000: nr=112, ctr1=1, ctr2=1, ctr3=1, RNA=5540  (tn=40032, r=25575)
step=30000: nr=156, ctr1=1, ctr2=1, ctr3=1, RNA=7310  (tn=40032, r=19075)
step=35000: nr=173, ctr1=1, ctr2=1, ctr3=1, RNA=8700  (tn=40032, r=13160)
step=40000: nr=202, ctr1=1, ctr2=1, ctr3=1, RNA=9377  (tn=40032, r=8882)
step=45000: nr=221, ctr1=2, ctr2=1, ctr3=1, RNA=9619  (tn=40032, r=5902)
step=50000: nr=243, ctr1=3, ctr2=1, ctr3=1, RNA=9613  (tn=40032, r=3973)
step=55000: nr=269, ctr1=4, ctr2=1, ctr3=1, RNA=9567  (tn=40032, r=2579)
step=60000: nr=276, ctr1=3, ctr2=1, ctr3=1, RNA=9522  (tn=40032, r=1610)
step=65000: nr=274, ctr1=4, ctr2=1, ctr3=1, RNA=9353  (tn=40032, r=965)
step=70000: nr=292, ctr1=5, ctr2=1, ctr3=1, RNA=9232  (tn=40032, r=588)
step=75000: nr=301, ctr1=6, ctr2=1, ctr3=1, RNA=9078  (tn=40032, r=384)
step=80000: nr=298, ctr1=9, ctr2=1, ctr3=2, RNA=8913  (tn=40032, r=219)
step=85000: nr=314, ctr1=10, ctr2=1, ctr3=2, RNA=8759  (tn=40032, r=123)
step=90000: nr=310, ctr1=11, ctr2=1, ctr3=2, RNA=8626  (tn=40032, r=80)
step=95000: nr=314, ctr1=12, ctr2=1, ctr3=2, RNA=8503  (tn=40032, r=50)
step=100000: nr=317, ctr1=14, ctr2=1, ctr3=2, RNA=8421  (tn=40032, r=23)
step=105000: nr=324, ctr1=14, ctr2=1, ctr3=2, RNA=8295  (tn=40032, r=13)
step=110000: nr=325, ctr1=14, ctr2=1, ctr3=2, RNA=8225  (tn=40032, r=12)
step=115000: nr=328, ctr1=13, ctr2=1, ctr3=2, RNA=8135  (tn=40032, r=4)
step=120000: nr=331, ctr1=15, ctr2=1, ctr3=2, RNA=8073  (tn=40032, r=9)
step=125000: nr=328, ctr1=15, ctr2=1, ctr3=3, RNA=7986  (tn=40032, r=5)
step=130000: nr=329, ctr1=15, ctr2=1, ctr3=3, RNA=7912  (tn=40032, r=2)
step=135000: nr=331, ctr1=18, ctr2=1, ctr3=3, RNA=7832  (tn=40032, r=2)
step=140000: nr=337, ctr1=18, ctr2=1, ctr3=3, RNA=7794  (tn=40032, r=2)
step=145000: nr=340, ctr1=19, ctr2=1, ctr3=3, RNA=7721  (tn=40032, r=2)
step=150000: nr=341, ctr1=18, ctr2=1, ctr3=3, RNA=7671  (tn=40032, r=4)
step=155000: nr=337, ctr1=19, ctr2=1, ctr3=3, RNA=7613  (tn=40032, r=5)
step=160000: nr=343, ctr1=20, ctr2=1, ctr3=3, RNA=7547  (tn=40032, r=5)
step=165000: nr=343, ctr1=20, ctr2=1, ctr3=3, RNA=7490  (tn=40032, r=2)
step=170000: nr=339, ctr1=19, ctr2=1, ctr3=3, RNA=7447  (tn=40032, r=4)
step=175000: nr=330, ctr1=20, ctr2=1, ctr3=3, RNA=7389  (tn=40032, r=1)
step=180000: nr=336, ctr1=19, ctr2=1, ctr3=3, RNA=7360  (tn=40032, r=2)
step=185000: nr=332, ctr1=20, ctr2=1, ctr3=3, RNA=7322  (tn=40032, r=4)
step=190000: nr=331, ctr1=19, ctr2=1, ctr3=3, RNA=7276  (tn=40032, r=5)
step=195000: nr=328, ctr1=19, ctr2=1, ctr3=3, RNA=7238  (tn=40032, r=3)
step=200000: nr=328, ctr1=20, ctr2=1, ctr3=3, RNA=7185  (tn=40032, r=4)
step=205000: nr=325, ctr1=21, ctr2=1, ctr3=3, RNA=7152  (tn=40032, r=3)
step=210000: nr=326, ctr1=21, ctr2=1, ctr3=3, RNA=7123  (tn=40032, r=3)
step=215000: nr=321, ctr1=20, ctr2=1, ctr3=3, RNA=7071  (tn=40032, r=0)
step=220000: nr=323, ctr1=21, ctr2=1, ctr3=3, RNA=7057  (tn=40032, r=3)
step=225000: nr=326, ctr1=21, ctr2=1, ctr3=3, RNA=7029  (tn=40032, r=4)
step=230000: nr=324, ctr1=21, ctr2=1, ctr3=3, RNA=6995  (tn=40032, r=3)
step=235000: nr=326, ctr1=21, ctr2=1, ctr3=3, RNA=6985  (tn=40032, r=1)
step=240000: nr=322, ctr1=21, ctr2=1, ctr3=3, RNA=6961  (tn=40032, r=0)
step=245000: nr=322, ctr1=20, ctr2=1, ctr3=3, RNA=6929  (tn=40032, r=0)
step=250000: nr=321, ctr1=19, ctr2=1, ctr3=3, RNA=6893  (tn=40032, r=4)
step=255000: nr=320, ctr1=20, ctr2=1, ctr3=3, RNA=6860  (tn=40032, r=3)
step=260000: nr=316, ctr1=20, ctr2=1, ctr3=3, RNA=6817  (tn=40032, r=3)
step=265000: nr=320, ctr1=20, ctr2=1, ctr3=3, RNA=6801  (tn=40032, r=1)
step=270000: nr=322, ctr1=19, ctr2=1, ctr3=3, RNA=6798  (tn=40032, r=1)
step=275000: nr=317, ctr1=19, ctr2=1, ctr3=3, RNA=6772  (tn=40032, r=2)
step=280000: nr=315, ctr1=19, ctr2=1, ctr3=3, RNA=6732  (tn=40032, r=8)
step=285000: nr=315, ctr1=18, ctr2=1, ctr3=3, RNA=6742  (tn=40032, r=3)
step=290000: nr=312, ctr1=17, ctr2=1, ctr3=3, RNA=6705  (tn=40032, r=1)
step=295000: nr=311, ctr1=18, ctr2=1, ctr3=3, RNA=6678  (tn=40032, r=4)
step=300000: nr=310, ctr1=18, ctr2=1, ctr3=3, RNA=6656  (tn=40032, r=2)
step=305000: nr=312, ctr1=17, ctr2=1, ctr3=3, RNA=6670  (tn=40032, r=3)
step=310000: nr=310, ctr1=17, ctr2=1, ctr3=3, RNA=6615  (tn=40032, r=1)
step=315000: nr=310, ctr1=17, ctr2=1, ctr3=3, RNA=6590  (tn=40032, r=3)
step=320000: nr=310, ctr1=17, ctr2=1, ctr3=3, RNA=6579  (tn=40032, r=3)
step=325000: nr=306, ctr1=16, ctr2=1, ctr3=3, RNA=6549  (tn=40032, r=2)
step=330000: nr=309, ctr1=17, ctr2=1, ctr3=3, RNA=6541  (tn=40032, r=2)
step=335000: nr=310, ctr1=17, ctr2=1, ctr3=3, RNA=6528  (tn=40032, r=3)
step=340000: nr=312, ctr1=17, ctr2=1, ctr3=3, RNA=6514  (tn=40032, r=3)
step=345000: nr=312, ctr1=16, ctr2=1, ctr3=3, RNA=6470  (tn=40032, r=4)
step=350000: nr=313, ctr1=17, ctr2=1, ctr3=3, RNA=6468  (tn=40032, r=5)
step=355000: nr=309, ctr1=17, ctr2=1, ctr3=3, RNA=6450  (tn=40032, r=2)
step=360000: nr=309, ctr1=17, ctr2=1, ctr3=3, RNA=6421  (tn=40032, r=3)
step=365000: nr=310, ctr1=17, ctr2=1, ctr3=3, RNA=6421  (tn=40032, r=2)
step=370000: nr=308, ctr1=17, ctr2=1, ctr3=3, RNA=6406  (tn=40032, r=3)
step=375000: nr=308, ctr1=17, ctr2=1, ctr3=3, RNA=6382  (tn=40032, r=5)
step=380000: nr=308, ctr1=17, ctr2=1, ctr3=3, RNA=6364  (tn=40032, r=3)
step=385000: nr=303, ctr1=18, ctr2=1, ctr3=3, RNA=6359  (tn=40032, r=6)
step=390000: nr=298, ctr1=18, ctr2=1, ctr3=2, RNA=6334  (tn=40032, r=3)
step=395000: nr=303, ctr1=17, ctr2=1, ctr3=2, RNA=6319  (tn=40032, r=4)
step=400000: nr=302, ctr1=17, ctr2=1, ctr3=2, RNA=6300  (tn=40032, r=2)
step=405000: nr=300, ctr1=17, ctr2=1, ctr3=2, RNA=6292  (tn=40032, r=7)
step=410000: nr=299, ctr1=16, ctr2=1, ctr3=2, RNA=6281  (tn=40032, r=6)
step=415000: nr=296, ctr1=17, ctr2=1, ctr3=2, RNA=6274  (tn=40032, r=3)
step=420000: nr=297, ctr1=17, ctr2=1, ctr3=2, RNA=6252  (tn=40032, r=0)
step=425000: nr=300, ctr1=17, ctr2=1, ctr3=2, RNA=6253  (tn=40032, r=2)
step=430000: nr=301, ctr1=17, ctr2=1, ctr3=2, RNA=6232  (tn=40032, r=4)
step=435000: nr=300, ctr1=17, ctr2=1, ctr3=2, RNA=6234  (tn=40032, r=4)
step=440000: nr=301, ctr1=17, ctr2=1, ctr3=1, RNA=6210  (tn=40032, r=2)
step=445000: nr=299, ctr1=17, ctr2=1, ctr3=1, RNA=6200  (tn=40032, r=3)
step=450000: nr=300, ctr1=17, ctr2=1, ctr3=1, RNA=6192  (tn=40032, r=1)
step=455000: nr=301, ctr1=17, ctr2=1, ctr3=1, RNA=6173  (tn=40032, r=2)
step=460000: nr=297, ctr1=16, ctr2=1, ctr3=1, RNA=6163  (tn=40032, r=2)
step=465000: nr=299, ctr1=15, ctr2=1, ctr3=1, RNA=6163  (tn=40032, r=2)
step=470000: nr=299, ctr1=16, ctr2=1, ctr3=1, RNA=6141  (tn=40032, r=4)
step=475000: nr=296, ctr1=16, ctr2=1, ctr3=1, RNA=6147  (tn=40032, r=5)
step=480000: nr=293, ctr1=16, ctr2=1, ctr3=1, RNA=6139  (tn=40032, r=1)
step=485000: nr=293, ctr1=16, ctr2=1, ctr3=1, RNA=6124  (tn=40032, r=3)
step=490000: nr=294, ctr1=16, ctr2=1, ctr3=1, RNA=6113  (tn=40032, r=4)
step=495000: nr=297, ctr1=16, ctr2=1, ctr3=1, RNA=6111  (tn=40032, r=3)
step=500000: nr=293, ctr1=16, ctr2=1, ctr3=1, RNA=6097  (tn=40032, r=2)
step=505000: nr=293, ctr1=16, ctr2=1, ctr3=1, RNA=6119  (tn=40032, r=5)
step=510000: nr=290, ctr1=16, ctr2=1, ctr3=1, RNA=6100  (tn=40032, r=4)
step=515000: nr=293, ctr1=16, ctr2=1, ctr3=1, RNA=6072  (tn=40032, r=3)
step=520000: nr=290, ctr1=16, ctr2=1, ctr3=1, RNA=6081  (tn=40032, r=3)
step=525000: nr=291, ctr1=16, ctr2=1, ctr3=1, RNA=6071  (tn=40032, r=3)
step=530000: nr=293, ctr1=16, ctr2=1, ctr3=1, RNA=6074  (tn=40032, r=3)
step=535000: nr=294, ctr1=16, ctr2=1, ctr3=1, RNA=6074  (tn=40032, r=2)
step=540000: nr=291, ctr1=16, ctr2=1, ctr3=1, RNA=6045  (tn=40032, r=5)
step=545000: nr=293, ctr1=16, ctr2=1, ctr3=1, RNA=6057  (tn=40032, r=3)
step=550000: nr=291, ctr1=16, ctr2=1, ctr3=1, RNA=6044  (tn=40032, r=3)
step=555000: nr=291, ctr1=16, ctr2=1, ctr3=1, RNA=6034  (tn=40032, r=5)
step=560000: nr=288, ctr1=16, ctr2=1, ctr3=1, RNA=6040  (tn=40032, r=5)
step=565000: nr=288, ctr1=16, ctr2=1, ctr3=1, RNA=6028  (tn=40032, r=4)
step=570000: nr=288, ctr1=16, ctr2=1, ctr3=1, RNA=6008  (tn=40032, r=6)
step=575000: nr=289, ctr1=16, ctr2=1, ctr3=1, RNA=6004  (tn=40032, r=2)
step=580000: nr=289, ctr1=16, ctr2=1, ctr3=1, RNA=5994  (tn=40032, r=0)
step=585000: nr=287, ctr1=15, ctr2=1, ctr3=1, RNA=5995  (tn=40032, r=1)
step=590000: nr=289, ctr1=16, ctr2=1, ctr3=1, RNA=5995  (tn=40032, r=2)
step=595000: nr=283, ctr1=16, ctr2=1, ctr3=1, RNA=5982  (tn=40032, r=2)
step=600000: nr=281, ctr1=16, ctr2=1, ctr3=1, RNA=5991  (tn=40032, r=7)
step=605000: nr=279, ctr1=16, ctr2=1, ctr3=1, RNA=5990  (tn=40032, r=2)
step=610000: nr=281, ctr1=16, ctr2=1, ctr3=1, RNA=5990  (tn=40032, r=4)
step=615000: nr=279, ctr1=16, ctr2=1, ctr3=1, RNA=5987  (tn=40032, r=3)
step=620000: nr=280, ctr1=15, ctr2=1, ctr3=1, RNA=5985  (tn=40032, r=5)
step=625000: nr=278, ctr1=15, ctr2=1, ctr3=1, RNA=5987  (tn=40032, r=2)
step=630000: nr=277, ctr1=13, ctr2=1, ctr3=1, RNA=5971  (tn=40032, r=5)
step=635000: nr=279, ctr1=14, ctr2=1, ctr3=1, RNA=5955  (tn=40032, r=5)
step=640000: nr=279, ctr1=14, ctr2=1, ctr3=2, RNA=5949  (tn=40032, r=3)
step=645000: nr=275, ctr1=13, ctr2=1, ctr3=2, RNA=5952  (tn=40032, r=4)
